Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'oneentri' | Inverse Document Frequency: 3.204662511748219
Term: 'subgraph' | Document Frequency: 4
Term: 'subgraph' | Inverse Document Frequency: 2.9036325160842376
Term: 'ij' | Document Frequency: 2
Term: 'ij' | Inverse Document Frequency: 3.204662511748219
Term: 'j1' | Document Frequency: 1
Term: 'j1' | Inverse Document Frequency: 3.5056925074122
Term: 'varian' | Document Frequency: 1
Term: 'varian' | Inverse Document Frequency: 3.5056925074122
Term: 'singlelevel' | Document Frequency: 2
Term: 'singlelevel' | Inverse Document Frequency: 3.204662511748219
Term: 'fault' | Document Frequency: 8
Term: 'fault' | Inverse Document Frequency: 2.6026025204202563
Term: 'minit' | Document Frequency: 5
Term: 'minit' | Inverse Document Frequency: 2.8067225030761813
Term: 'salazar' | Document Frequency: 2
Term: 'salazar' | Inverse Document Frequency: 3.204662511748219
Term: 'sen' | Document Frequency: 1
Term: 'sen' | Inverse Document Frequency: 3.5056925074122
Term: 'sk' | Document Frequency: 2
Term: 'sk' | Inverse Document Frequency: 3.204662511748219
Term: 'dual' | Document Frequency: 8
Term: 'dual' | Inverse Document Frequency: 2.6026025204202563
Term: '332' | Document Frequency: 8
Term: '332' | Inverse Document Frequency: 2.6026025204202563
Term: '331' | Document Frequency: 5
Term: '331' | Inverse Document Frequency: 2.8067225030761813
Term: '330' | Document Frequency: 6
Term: '330' | Inverse Document Frequency: 2.727541257028556
Term: 'oliv' | Document Frequency: 1
Term: 'oliv' | Inverse Document Frequency: 3.5056925074122
Term: 'slot' | Document Frequency: 2
Term: 'slot' | Inverse Document Frequency: 3.204662511748219
Term: 'fenichel' | Document Frequency: 6
Term: 'fenichel' | Inverse Document Frequency: 2.727541257028556
Term: 'overdetermin' | Document Frequency: 5
Term: 'overdetermin' | Inverse Document Frequency: 2.8067225030761813
Term: '328' | Document Frequency: 2
Term: '328' | Inverse Document Frequency: 3.204662511748219
Term: 'bartel' | Document Frequency: 5
Term: 'bartel' | Inverse Document Frequency: 2.8067225030761813
Term: 'goulub' | Document Frequency: 3
Term: 'goulub' | Inverse Document Frequency: 3.0285712526925375
Term: 'sutherland' | Document Frequency: 3
Term: 'sutherland' | Inverse Document Frequency: 3.0285712526925375
Term: 'auction' | Document Frequency: 1
Term: 'auction' | Inverse Document Frequency: 3.5056925074122
Term: 'fluctuat' | Document Frequency: 2
Term: 'fluctuat' | Inverse Document Frequency: 3.204662511748219
Term: 'monthli' | Document Frequency: 1
Term: 'monthli' | Inverse Document Frequency: 3.5056925074122
Term: 'usaai' | Document Frequency: 1
Term: 'usaai' | Inverse Document Frequency: 3.5056925074122
Term: 'global' | Document Frequency: 21
Term: 'global' | Inverse Document Frequency: 2.183473212678281
Term: 'bradi' | Document Frequency: 1
Term: 'bradi' | Inverse Document Frequency: 3.5056925074122
Term: '442' | Document Frequency: 27
Term: '442' | Inverse Document Frequency: 2.0743287432532127
Term: 'consum' | Document Frequency: 7
Term: 'consum' | Inverse Document Frequency: 2.660594467397943
Term: 'intric' | Document Frequency: 1
Term: 'intric' | Inverse Document Frequency: 3.5056925074122
Term: 'opak' | Document Frequency: 1
Term: 'opak' | Inverse Document Frequency: 3.5056925074122
Term: 'pdp58' | Document Frequency: 1
Term: 'pdp58' | Inverse Document Frequency: 3.5056925074122
Term: 'sds930' | Document Frequency: 1
Term: 'sds930' | Inverse Document Frequency: 3.5056925074122
Term: 'teletyp' | Document Frequency: 5
Term: 'teletyp' | Inverse Document Frequency: 2.8067225030761813
Term: 'emboss' | Document Frequency: 1
Term: 'emboss' | Inverse Document Frequency: 3.5056925074122
Term: 'tactil' | Document Frequency: 2
Term: 'tactil' | Inverse Document Frequency: 3.204662511748219
Term: 'brailler' | Document Frequency: 1
Term: 'brailler' | Inverse Document Frequency: 3.5056925074122
Term: 'resili' | Document Frequency: 1
Term: 'resili' | Inverse Document Frequency: 3.5056925074122
Term: 'platen' | Document Frequency: 1
Term: 'platen' | Inverse Document Frequency: 3.5056925074122
Term: 'brad' | Document Frequency: 2
Term: 'brad' | Inverse Document Frequency: 3.204662511748219
Term: 'brookhaven' | Document Frequency: 2
Term: 'brookhaven' | Inverse Document Frequency: 3.204662511748219
Term: 'raster' | Document Frequency: 8
Term: 'raster' | Inverse Document Frequency: 2.6026025204202563
Term: 'ophir' | Document Frequency: 2
Term: 'ophir' | Inverse Document Frequency: 3.204662511748219
Term: 'rankowitz' | Document Frequency: 1
Term: 'rankowitz' | Inverse Document Frequency: 3.5056925074122
Term: 'shepherd' | Document Frequency: 2
Term: 'shepherd' | Inverse Document Frequency: 3.204662511748219
Term: 'spinrad' | Document Frequency: 2
Term: 'spinrad' | Inverse Document Frequency: 3.204662511748219
Term: 'tv' | Document Frequency: 2
Term: 'tv' | Inverse Document Frequency: 3.204662511748219
Term: 'swept' | Document Frequency: 2
Term: 'swept' | Inverse Document Frequency: 3.204662511748219
Term: 'multiconsol' | Document Frequency: 1
Term: 'multiconsol' | Inverse Document Frequency: 3.5056925074122
Term: 'thousand' | Document Frequency: 3
Term: 'thousand' | Inverse Document Frequency: 3.0285712526925375
Term: '50000' | Document Frequency: 1
Term: '50000' | Inverse Document Frequency: 3.5056925074122
Term: '3000' | Document Frequency: 1
Term: '3000' | Inverse Document Frequency: 3.5056925074122
Term: 'programmat' | Document Frequency: 1
Term: 'programmat' | Inverse Document Frequency: 3.5056925074122
Term: 'myer' | Document Frequency: 2
Term: 'myer' | Inverse Document Frequency: 3.204662511748219
Term: 'fullduplex' | Document Frequency: 3
Term: 'fullduplex' | Inverse Document Frequency: 3.0285712526925375
Term: 'halfduplex' | Document Frequency: 2
Term: 'halfduplex' | Inverse Document Frequency: 3.204662511748219
Term: 'fieldproven' | Document Frequency: 1
Term: 'fieldproven' | Inverse Document Frequency: 3.5056925074122
Term: 'stiefel' | Document Frequency: 1
Term: 'stiefel' | Inverse Document Frequency: 3.5056925074122
Term: 'lu' | Document Frequency: 6
Term: 'lu' | Inverse Document Frequency: 2.727541257028556
Term: 'occasion' | Document Frequency: 4
Term: 'occasion' | Inverse Document Frequency: 2.9036325160842376
Term: 'enterpris' | Document Frequency: 1
Term: 'enterpris' | Inverse Document Frequency: 3.5056925074122
Term: 'leas' | Document Frequency: 2
Term: 'leas' | Inverse Document Frequency: 3.204662511748219
Term: 'envis' | Document Frequency: 3
Term: 'envis' | Inverse Document Frequency: 3.0285712526925375
Term: 'restructur' | Document Frequency: 8
Term: 'restructur' | Inverse Document Frequency: 2.6026025204202563
Term: 'messageswitch' | Document Frequency: 1
Term: 'messageswitch' | Inverse Document Frequency: 3.5056925074122
Term: 'rm' | Document Frequency: 4
Term: 'rm' | Inverse Document Frequency: 2.9036325160842376
Term: 'horn' | Document Frequency: 2
Term: 'horn' | Inverse Document Frequency: 3.204662511748219
Term: '443' | Document Frequency: 14
Term: '443' | Inverse Document Frequency: 2.359564471733962
Term: 'reject' | Document Frequency: 8
Term: 'reject' | Inverse Document Frequency: 2.6026025204202563
Term: 'asynchron' | Document Frequency: 8
Term: 'asynchron' | Inverse Document Frequency: 2.6026025204202563
Term: 'timeofdai' | Document Frequency: 1
Term: 'timeofdai' | Inverse Document Frequency: 3.5056925074122
Term: 'clock' | Document Frequency: 7
Term: 'clock' | Inverse Document Frequency: 2.660594467397943
Term: '621' | Document Frequency: 22
Term: '621' | Inverse Document Frequency: 2.163269826589994
Term: 'priorityori' | Document Frequency: 1
Term: 'priorityori' | Inverse Document Frequency: 3.5056925074122
Term: 'timeori' | Document Frequency: 1
Term: 'timeori' | Inverse Document Frequency: 3.5056925074122
Term: 'fuchel' | Document Frequency: 1
Term: 'fuchel' | Inverse Document Frequency: 3.5056925074122
Term: 'heller' | Document Frequency: 2
Term: 'heller' | Inverse Document Frequency: 3.204662511748219
Term: 'ec' | Document Frequency: 2
Term: 'ec' | Inverse Document Frequency: 3.204662511748219
Term: 'heighten' | Document Frequency: 1
Term: 'heighten' | Inverse Document Frequency: 3.5056925074122
Term: 'multicomput' | Document Frequency: 1
Term: 'multicomput' | Inverse Document Frequency: 3.5056925074122
Term: 'ongo' | Document Frequency: 4
Term: 'ongo' | Inverse Document Frequency: 2.9036325160842376
Term: 'weizer' | Document Frequency: 1
Term: 'weizer' | Inverse Document Frequency: 3.5056925074122
Term: 'predecessor' | Document Frequency: 1
Term: 'predecessor' | Inverse Document Frequency: 3.5056925074122
Term: 'dalei' | Document Frequency: 2
Term: 'dalei' | Inverse Document Frequency: 3.204662511748219
Term: 'kuehner' | Document Frequency: 2
Term: 'kuehner' | Inverse Document Frequency: 3.204662511748219
Term: 'systemsaccord' | Document Frequency: 1
Term: 'systemsaccord' | Inverse Document Frequency: 3.5056925074122
Term: 'usedi' | Document Frequency: 1
Term: 'usedi' | Inverse Document Frequency: 3.5056925074122
Term: 'machinetomachin' | Document Frequency: 2
Term: 'machinetomachin' | Inverse Document Frequency: 3.204662511748219
Term: 'unitari' | Document Frequency: 3
Term: 'unitari' | Inverse Document Frequency: 3.0285712526925375
Term: 'schur' | Document Frequency: 1
Term: 'schur' | Inverse Document Frequency: 3.5056925074122
Term: 'obrien' | Document Frequency: 1
Term: 'obrien' | Inverse Document Frequency: 3.5056925074122
Term: '326' | Document Frequency: 3
Term: '326' | Inverse Document Frequency: 3.0285712526925375
Term: 'nonweil' | Document Frequency: 1
Term: 'nonweil' | Inverse Document Frequency: 3.5056925074122
Term: 'biquadrat' | Document Frequency: 1
Term: 'biquadrat' | Inverse Document Frequency: 3.5056925074122
Term: 'organick' | Document Frequency: 1
Term: 'organick' | Inverse Document Frequency: 3.5056925074122
Term: 'dropout' | Document Frequency: 1
Term: 'dropout' | Inverse Document Frequency: 3.5056925074122
Term: 'precolleg' | Document Frequency: 1
Term: 'precolleg' | Inverse Document Frequency: 3.5056925074122
Term: 'th' | Document Frequency: 1
Term: 'th' | Inverse Document Frequency: 3.5056925074122
Term: 'anniversari' | Document Frequency: 1
Term: 'anniversari' | Inverse Document Frequency: 3.5056925074122
Term: '1967' | Document Frequency: 4
Term: '1967' | Inverse Document Frequency: 2.9036325160842376
Term: 'entitl' | Document Frequency: 2
Term: 'entitl' | Inverse Document Frequency: 3.204662511748219
Term: 'chair' | Document Frequency: 1
Term: 'chair' | Inverse Document Frequency: 3.5056925074122
Term: 'elliot' | Document Frequency: 2
Term: 'elliot' | Inverse Document Frequency: 3.204662511748219
Term: 'charl' | Document Frequency: 1
Term: 'charl' | Inverse Document Frequency: 3.5056925074122
Term: 'bernard' | Document Frequency: 2
Term: 'bernard' | Inverse Document Frequency: 3.204662511748219
Term: 'ham' | Document Frequency: 2
Term: 'ham' | Inverse Document Frequency: 3.204662511748219
Term: 'alan' | Document Frequency: 1
Term: 'alan' | Inverse Document Frequency: 3.5056925074122
Term: 'andri' | Document Frequency: 1
Term: 'andri' | Inverse Document Frequency: 3.5056925074122
Term: 'dam' | Document Frequency: 1
Term: 'dam' | Inverse Document Frequency: 3.5056925074122
Term: 'bkohn' | Document Frequency: 1
Term: 'bkohn' | Inverse Document Frequency: 3.5056925074122
Term: 'dr' | Document Frequency: 4
Term: 'dr' | Inverse Document Frequency: 2.9036325160842376
Term: 'fund' | Document Frequency: 7
Term: 'fund' | Inverse Document Frequency: 2.660594467397943
Term: '196465' | Document Frequency: 1
Term: '196465' | Inverse Document Frequency: 3.5056925074122
Term: '196869' | Document Frequency: 1
Term: '196869' | Inverse Document Frequency: 3.5056925074122
Term: 'southern' | Document Frequency: 1
Term: 'southern' | Inverse Document Frequency: 3.5056925074122
Term: 'popul' | Document Frequency: 6
Term: 'popul' | Inverse Document Frequency: 2.727541257028556
Term: 'vasudenvan' | Document Frequency: 1
Term: 'vasudenvan' | Inverse Document Frequency: 3.5056925074122
Term: 'metacompil' | Document Frequency: 5
Term: 'metacompil' | Inverse Document Frequency: 2.8067225030761813
Term: 'expedi' | Document Frequency: 1
Term: 'expedi' | Inverse Document Frequency: 3.5056925074122
Term: 'cheapli' | Document Frequency: 1
Term: 'cheapli' | Inverse Document Frequency: 3.5056925074122
Term: 'invalid' | Document Frequency: 2
Term: 'invalid' | Inverse Document Frequency: 3.204662511748219
Term: 'shorten' | Document Frequency: 3
Term: 'shorten' | Inverse Document Frequency: 3.0285712526925375
Term: 'target' | Document Frequency: 3
Term: 'target' | Inverse Document Frequency: 3.0285712526925375
Term: 'nontermin' | Document Frequency: 2
Term: 'nontermin' | Inverse Document Frequency: 3.204662511748219
Term: 'nderiv' | Document Frequency: 1
Term: 'nderiv' | Inverse Document Frequency: 3.5056925074122
Term: 'harder' | Document Frequency: 1
Term: 'harder' | Inverse Document Frequency: 3.5056925074122
Term: 'barrier' | Document Frequency: 1
Term: 'barrier' | Inverse Document Frequency: 3.5056925074122
Term: '630' | Document Frequency: 4
Term: '630' | Inverse Document Frequency: 2.9036325160842376
Term: 'onward' | Document Frequency: 1
Term: 'onward' | Inverse Document Frequency: 3.5056925074122
Term: 'sweep' | Document Frequency: 2
Term: 'sweep' | Inverse Document Frequency: 3.204662511748219
Term: 'imped' | Document Frequency: 1
Term: 'imped' | Inverse Document Frequency: 3.5056925074122
Term: 'geographi' | Document Frequency: 1
Term: 'geographi' | Inverse Document Frequency: 3.5056925074122
Term: 'distanc' | Document Frequency: 11
Term: 'distanc' | Inverse Document Frequency: 2.464299822253975
Term: 'incent' | Document Frequency: 2
Term: 'incent' | Inverse Document Frequency: 3.204662511748219
Term: 'breach' | Document Frequency: 3
Term: 'breach' | Inverse Document Frequency: 3.0285712526925375
Term: 'urgent' | Document Frequency: 1
Term: 'urgent' | Inverse Document Frequency: 3.5056925074122
Term: 'judg' | Document Frequency: 4
Term: 'judg' | Inverse Document Frequency: 2.9036325160842376
Term: 'barriersmash' | Document Frequency: 1
Term: 'barriersmash' | Inverse Document Frequency: 3.5056925074122
Term: 'front' | Document Frequency: 3
Term: 'front' | Inverse Document Frequency: 3.0285712526925375
Term: 'ethic' | Document Frequency: 1
Term: 'ethic' | Inverse Document Frequency: 3.5056925074122
Term: 'parker' | Document Frequency: 3
Term: 'parker' | Inverse Document Frequency: 3.0285712526925375
Term: 'uneth' | Document Frequency: 1
Term: 'uneth' | Inverse Document Frequency: 3.5056925074122
Term: 'council' | Document Frequency: 2
Term: 'council' | Inverse Document Frequency: 3.204662511748219
Term: 'novemb' | Document Frequency: 4
Term: 'novemb' | Inverse Document Frequency: 2.9036325160842376
Term: 'twentytwo' | Document Frequency: 1
Term: 'twentytwo' | Inverse Document Frequency: 3.5056925074122
Term: 'prerequisit' | Document Frequency: 2
Term: 'prerequisit' | Inverse Document Frequency: 3.204662511748219
Term: 'doctor' | Document Frequency: 2
Term: 'doctor' | Inverse Document Frequency: 3.204662511748219
Term: 'minor' | Document Frequency: 8
Term: 'minor' | Inverse Document Frequency: 2.6026025204202563
Term: 'usascsocr' | Document Frequency: 1
Term: 'usascsocr' | Inverse Document Frequency: 3.5056925074122
Term: 'pankhurst' | Document Frequency: 1
Term: 'pankhurst' | Inverse Document Frequency: 3.5056925074122
Term: 'nonautomat' | Document Frequency: 1
Term: 'nonautomat' | Inverse Document Frequency: 3.5056925074122
Term: 'zielk' | Document Frequency: 1
Term: 'zielk' | Inverse Document Frequency: 3.5056925074122
Term: 'maxflow' | Document Frequency: 2
Term: 'maxflow' | Inverse Document Frequency: 3.204662511748219
Term: 'liner' | Document Frequency: 1
Term: 'liner' | Inverse Document Frequency: 3.5056925074122
Term: '323' | Document Frequency: 9
Term: '323' | Inverse Document Frequency: 2.5514499979728753
Term: '322' | Document Frequency: 2
Term: '322' | Inverse Document Frequency: 3.204662511748219
Term: 'tdistribut' | Document Frequency: 7
Term: 'tdistribut' | Inverse Document Frequency: 2.660594467397943
Term: 'ttest' | Document Frequency: 3
Term: 'ttest' | Inverse Document Frequency: 3.0285712526925375
Term: 'tstatist' | Document Frequency: 4
Term: 'tstatist' | Inverse Document Frequency: 2.9036325160842376
Term: 'macroprocessor' | Document Frequency: 1
Term: 'macroprocessor' | Inverse Document Frequency: 3.5056925074122
Term: '410' | Document Frequency: 18
Term: '410' | Inverse Document Frequency: 2.250420002308894
Term: 'meisel' | Document Frequency: 1
Term: 'meisel' | Inverse Document Frequency: 3.5056925074122
Term: 'log' | Document Frequency: 20
Term: 'log' | Inverse Document Frequency: 2.204662511748219
Term: 'inandout' | Document Frequency: 1
Term: 'inandout' | Inverse Document Frequency: 3.5056925074122
Term: 'matula' | Document Frequency: 1
Term: 'matula' | Inverse Document Frequency: 3.5056925074122
Term: 'byan' | Document Frequency: 1
Term: 'byan' | Inverse Document Frequency: 3.5056925074122
Term: 'hash' | Document Frequency: 38
Term: 'hash' | Inverse Document Frequency: 1.92590891079539
Term: 'collis' | Document Frequency: 10
Term: 'collis' | Inverse Document Frequency: 2.5056925074122
Term: 'cluster' | Document Frequency: 19
Term: 'cluster' | Inverse Document Frequency: 2.226938906459371
Term: 'bnf' | Document Frequency: 6
Term: 'bnf' | Inverse Document Frequency: 2.727541257028556
Term: 'leftright' | Document Frequency: 1
Term: 'leftright' | Inverse Document Frequency: 3.5056925074122
Term: 'besid' | Document Frequency: 2
Term: 'besid' | Inverse Document Frequency: 3.204662511748219
Term: 'meta' | Document Frequency: 1
Term: 'meta' | Inverse Document Frequency: 3.5056925074122
Term: 'toric' | Document Frequency: 2
Term: 'toric' | Inverse Document Frequency: 3.204662511748219
Term: 'exploratori' | Document Frequency: 1
Term: 'exploratori' | Inverse Document Frequency: 3.5056925074122
Term: 'sackman' | Document Frequency: 1
Term: 'sackman' | Inverse Document Frequency: 3.5056925074122
Term: 'erikson' | Document Frequency: 1
Term: 'erikson' | Inverse Document Frequency: 3.5056925074122
Term: 'grant' | Document Frequency: 8
Term: 'grant' | Inverse Document Frequency: 2.6026025204202563
Term: 'programmercomput' | Document Frequency: 1
Term: 'programmercomput' | Inverse Document Frequency: 3.5056925074122
Term: 'experimentalempir' | Document Frequency: 1
Term: 'experimentalempir' | Inverse Document Frequency: 3.5056925074122
Term: 'traine' | Document Frequency: 1
Term: 'traine' | Inverse Document Frequency: 3.5056925074122
Term: 'strike' | Document Frequency: 4
Term: 'strike' | Inverse Document Frequency: 2.9036325160842376
Term: 'hypothes' | Document Frequency: 6
Term: 'hypothes' | Inverse Document Frequency: 2.727541257028556
Term: 'seraphin' | Document Frequency: 1
Term: 'seraphin' | Inverse Document Frequency: 3.5056925074122
Term: 'fateman' | Document Frequency: 1
Term: 'fateman' | Inverse Document Frequency: 3.5056925074122
Term: '1969' | Document Frequency: 7
Term: '1969' | Inverse Document Frequency: 2.660594467397943
Term: 'faction' | Document Frequency: 1
Term: 'faction' | Inverse Document Frequency: 3.5056925074122
Term: 'parson' | Document Frequency: 1
Term: 'parson' | Inverse Document Frequency: 3.5056925074122
Term: 'psi' | Document Frequency: 3
Term: 'psi' | Inverse Document Frequency: 3.0285712526925375
Term: '367' | Document Frequency: 1
Term: '367' | Inverse Document Frequency: 3.5056925074122
Term: 'g2' | Document Frequency: 4
Term: 'g2' | Inverse Document Frequency: 2.9036325160842376
Term: 'claringbold' | Document Frequency: 2
Term: 'claringbold' | Inverse Document Frequency: 3.204662511748219
Term: 'interblock' | Document Frequency: 1
Term: 'interblock' | Inverse Document Frequency: 3.5056925074122
Term: 'intra' | Document Frequency: 1
Term: 'intra' | Inverse Document Frequency: 3.5056925074122
Term: 'bach' | Document Frequency: 2
Term: 'bach' | Inverse Document Frequency: 3.204662511748219
Term: 'color' | Document Frequency: 10
Term: 'color' | Inverse Document Frequency: 2.5056925074122
Term: '364' | Document Frequency: 23
Term: '364' | Inverse Document Frequency: 2.143964671394607
Term: 'shade' | Document Frequency: 6
Term: 'shade' | Inverse Document Frequency: 2.727541257028556
Term: 'enclos' | Document Frequency: 2
Term: 'enclos' | Inverse Document Frequency: 3.204662511748219
Term: 'computersprogress' | Document Frequency: 1
Term: 'computersprogress' | Inverse Document Frequency: 3.5056925074122
Term: 'slice' | Document Frequency: 2
Term: 'slice' | Inverse Document Frequency: 3.204662511748219
Term: 'intermitt' | Document Frequency: 4
Term: 'intermitt' | Inverse Document Frequency: 2.9036325160842376
Term: 'singli' | Document Frequency: 2
Term: 'singli' | Inverse Document Frequency: 3.204662511748219
Term: 'elig' | Document Frequency: 1
Term: 'elig' | Inverse Document Frequency: 3.5056925074122
Term: 'coresid' | Document Frequency: 1
Term: 'coresid' | Inverse Document Frequency: 3.5056925074122
Term: 'simulationtest' | Document Frequency: 1
Term: 'simulationtest' | Inverse Document Frequency: 3.5056925074122
Term: 'nonquantit' | Document Frequency: 1
Term: 'nonquantit' | Inverse Document Frequency: 3.5056925074122
Term: 'dilemma' | Document Frequency: 1
Term: 'dilemma' | Inverse Document Frequency: 3.5056925074122
Term: 'england' | Document Frequency: 1
Term: 'england' | Inverse Document Frequency: 3.5056925074122
Term: 'cryptograph' | Document Frequency: 4
Term: 'cryptograph' | Inverse Document Frequency: 2.9036325160842376
Term: 'tassel' | Document Frequency: 1
Term: 'tassel' | Inverse Document Frequency: 3.5056925074122
Term: 'cryptanalysi' | Document Frequency: 2
Term: 'cryptanalysi' | Inverse Document Frequency: 3.204662511748219
Term: 'cipher' | Document Frequency: 5
Term: 'cipher' | Inverse Document Frequency: 2.8067225030761813
Term: 'secreci' | Document Frequency: 3
Term: 'secreci' | Inverse Document Frequency: 3.0285712526925375
Term: 'parter' | Document Frequency: 1
Term: 'parter' | Inverse Document Frequency: 3.5056925074122
Term: 'fold' | Document Frequency: 3
Term: 'fold' | Inverse Document Frequency: 3.0285712526925375
Term: 'sayr' | Document Frequency: 1
Term: 'sayr' | Inverse Document Frequency: 3.5056925074122
Term: '634' | Document Frequency: 15
Term: '634' | Inverse Document Frequency: 2.3296012483565187
Term: 'et' | Document Frequency: 3
Term: 'et' | Inverse Document Frequency: 3.0285712526925375
Term: 'beladi' | Document Frequency: 3
Term: 'beladi' | Inverse Document Frequency: 3.0285712526925375
Term: 'memorytostorag' | Document Frequency: 1
Term: 'memorytostorag' | Inverse Document Frequency: 3.5056925074122
Term: 'prefold' | Document Frequency: 1
Term: 'prefold' | Inverse Document Frequency: 3.5056925074122
Term: 'aggrav' | Document Frequency: 1
Term: 'aggrav' | Inverse Document Frequency: 3.5056925074122
Term: 'parallelprocessor' | Document Frequency: 1
Term: 'parallelprocessor' | Inverse Document Frequency: 3.5056925074122
Term: 'interfer' | Document Frequency: 11
Term: 'interfer' | Inverse Document Frequency: 2.464299822253975
Term: 'affirm' | Document Frequency: 3
Term: 'affirm' | Inverse Document Frequency: 3.0285712526925375
Term: 'gather' | Document Frequency: 3
Term: 'gather' | Inverse Document Frequency: 3.0285712526925375
Term: '1n' | Document Frequency: 1
Term: '1n' | Inverse Document Frequency: 3.5056925074122
Term: 'grosenbaugh' | Document Frequency: 1
Term: 'grosenbaugh' | Inverse Document Frequency: 3.5056925074122
Term: '308' | Document Frequency: 1
Term: '308' | Inverse Document Frequency: 3.5056925074122
Term: 'tomlin' | Document Frequency: 1
Term: 'tomlin' | Inverse Document Frequency: 3.5056925074122
Term: 'watson' | Document Frequency: 4
Term: 'watson' | Inverse Document Frequency: 2.9036325160842376
Term: '255' | Document Frequency: 1
Term: '255' | Inverse Document Frequency: 3.5056925074122
Term: 'filon' | Document Frequency: 7
Term: 'filon' | Inverse Document Frequency: 2.660594467397943
Term: 'cobb' | Document Frequency: 1
Term: 'cobb' | Inverse Document Frequency: 3.5056925074122
Term: 'voigt' | Document Frequency: 2
Term: 'voigt' | Inverse Document Frequency: 3.204662511748219
Term: 'gausshermit' | Document Frequency: 2
Term: 'gausshermit' | Inverse Document Frequency: 3.204662511748219
Term: '362' | Document Frequency: 15
Term: '362' | Inverse Document Frequency: 2.3296012483565187
Term: 'robson' | Document Frequency: 2
Term: 'robson' | Inverse Document Frequency: 3.204662511748219
Term: '361' | Document Frequency: 7
Term: '361' | Inverse Document Frequency: 2.660594467397943
Term: 'shriver' | Document Frequency: 2
Term: 'shriver' | Inverse Document Frequency: 3.204662511748219
Term: 'eberlein' | Document Frequency: 2
Term: 'eberlein' | Inverse Document Frequency: 3.204662511748219
Term: 'dixon' | Document Frequency: 3
Term: 'dixon' | Inverse Document Frequency: 3.0285712526925375
Term: '530' | Document Frequency: 32
Term: '530' | Inverse Document Frequency: 2.0005425290922942
Term: 'shortestpath' | Document Frequency: 1
Term: 'shortestpath' | Inverse Document Frequency: 3.5056925074122
Term: 'forest' | Document Frequency: 2
Term: 'forest' | Inverse Document Frequency: 3.204662511748219
Term: '542' | Document Frequency: 10
Term: '542' | Inverse Document Frequency: 2.5056925074122
Term: 'aparela' | Document Frequency: 1
Term: 'aparela' | Inverse Document Frequency: 3.5056925074122
Term: 'parserequest' | Document Frequency: 1
Term: 'parserequest' | Inverse Document Frequency: 3.5056925074122
Term: 'balzer' | Document Frequency: 2
Term: 'balzer' | Inverse Document Frequency: 3.204662511748219
Term: 'farber' | Document Frequency: 2
Term: 'farber' | Inverse Document Frequency: 3.204662511748219
Term: 'aparel' | Document Frequency: 1
Term: 'aparel' | Inverse Document Frequency: 3.5056925074122
Term: 'patternmatch' | Document Frequency: 2
Term: 'patternmatch' | Inverse Document Frequency: 3.204662511748219
Term: 'snobol4' | Document Frequency: 4
Term: 'snobol4' | Inverse Document Frequency: 2.9036325160842376
Term: 'tmg' | Document Frequency: 1
Term: 'tmg' | Inverse Document Frequency: 3.5056925074122
Term: 'bnflike' | Document Frequency: 1
Term: 'bnflike' | Inverse Document Frequency: 3.5056925074122
Term: 'parsetim' | Document Frequency: 1
Term: 'parsetim' | Inverse Document Frequency: 3.5056925074122
Term: 'dataless' | Document Frequency: 1
Term: 'dataless' | Inverse Document Frequency: 3.5056925074122
Term: 'lr' | Document Frequency: 8
Term: 'lr' | Inverse Document Frequency: 2.6026025204202563
Term: 'korenjak' | Document Frequency: 1
Term: 'korenjak' | Inverse Document Frequency: 3.5056925074122
Term: 'nobackup' | Document Frequency: 1
Term: 'nobackup' | Inverse Document Frequency: 3.5056925074122
Term: 'garbagecollector' | Document Frequency: 1
Term: 'garbagecollector' | Inverse Document Frequency: 3.5056925074122
Term: 'virtualmemori' | Document Frequency: 2
Term: 'virtualmemori' | Inverse Document Frequency: 3.204662511748219
Term: 'yochelson' | Document Frequency: 2
Term: 'yochelson' | Inverse Document Frequency: 3.204662511748219
Term: 'storagealloc' | Document Frequency: 1
Term: 'storagealloc' | Inverse Document Frequency: 3.5056925074122
Term: 'garbagecollect' | Document Frequency: 2
Term: 'garbagecollect' | Inverse Document Frequency: 3.204662511748219
Term: 'realli' | Document Frequency: 1
Term: 'realli' | Inverse Document Frequency: 3.5056925074122
Term: 'pinkerton' | Document Frequency: 2
Term: 'pinkerton' | Inverse Document Frequency: 3.204662511748219
Term: 'dcf' | Document Frequency: 1
Term: 'dcf' | Inverse Document Frequency: 3.5056925074122
Term: 'mt' | Document Frequency: 1
Term: 'mt' | Inverse Document Frequency: 3.5056925074122
Term: 'unrel' | Document Frequency: 1
Term: 'unrel' | Inverse Document Frequency: 3.5056925074122
Term: 'parallelaccess' | Document Frequency: 1
Term: 'parallelaccess' | Inverse Document Frequency: 3.5056925074122
Term: 'shoshani' | Document Frequency: 1
Term: 'shoshani' | Inverse Document Frequency: 3.5056925074122
Term: 'bernstein' | Document Frequency: 7
Term: 'bernstein' | Inverse Document Frequency: 2.660594467397943
Term: 'lock' | Document Frequency: 5
Term: 'lock' | Inverse Document Frequency: 2.8067225030761813
Term: 'deadlock' | Document Frequency: 15
Term: 'deadlock' | Inverse Document Frequency: 2.3296012483565187
Term: 'directori' | Document Frequency: 8
Term: 'directori' | Inverse Document Frequency: 2.6026025204202563
Term: 'rightnour' | Document Frequency: 1
